2020-08-03,9154
2020-08-02,9154
2020-08-01,9154
2020-07-31,9147
2020-07-30,9144
2020-07-29,9135
2020-07-28,9131
2020-07-27,9125
2020-07-26,9124
2020-07-25,9124
2020-07-24,9120
2020-07-23,9110
2020-07-22,9102
2020-07-21,9099
2020-07-20,9094
2020-07-19,9092
2020-07-18,9091
2020-07-17,9088
2020-07-16,9087
2020-07-15,9080
2020-07-14,9078
2020-07-13,9074
2020-07-12,9071
2020-07-11,9070
2020-07-10,9063
2020-07-09,9057
2020-07-08,9046
2020-07-07,9032
2020-07-06,9022
2020-07-05,9023
2020-07-04,9020
2020-07-03,9010
2020-07-02,9006
2020-07-01,8995
2020-06-30,8990
2020-06-29,8976
2020-06-28,8968
2020-06-27,8968
2020-06-26,8965
2020-06-25,8940
2020-06-24,8928
2020-06-23,8914
2020-06-22,8899
2020-06-21,8895
2020-06-20,8895
2020-06-19,8887
2020-06-18,8875
2020-06-17,8851
2020-06-16,8820
2020-06-15,8807
2020-06-14,8801
2020-06-13,8793
2020-06-12,8783
2020-06-11,8772
2020-06-10,8752
2020-06-09,8736
2020-06-08,8695
2020-06-07,8685
2020-06-06,8673
2020-06-05,8658
2020-06-04,8635
2020-06-03,8602
2020-06-02,8563
2020-06-01,8555
2020-05-31,8540
2020-05-30,8530
2020-05-29,8504
2020-05-28,8470
2020-05-27,8428
2020-05-26,8372
2020-05-25,8309
2020-05-24,8283
2020-05-23,8261
2020-05-22,8228
2020-05-21,8203
2020-05-20,8144
2020-05-19,8081
2020-05-18,8003
2020-05-17,7962
2020-05-16,7938
2020-05-15,7897
2020-05-14,7884
2020-05-13,7861
2020-05-12,7738
2020-05-11,7661
2020-05-10,7569
2020-05-09,7549
2020-05-08,7510
2020-05-07,7392
2020-05-06,7275
2020-05-05,6993
2020-05-04,6993
2020-05-03,6866
2020-05-02,6812
2020-05-01,6736
2020-04-30,6623
2020-04-29,6467
2020-04-28,6314
2020-04-27,6126
2020-04-26,5976
2020-04-25,5877
2020-04-24,5760
2020-04-23,5575
2020-04-22,5279
2020-04-21,5033
2020-04-20,4862
2020-04-19,4586
2020-04-18,4459
2020-04-17,4352
2020-04-16,4052
2020-04-15,3804
2020-04-14,3294
2020-04-13,3194
2020-04-12,3022
2020-04-11,2736
2020-04-10,2767
2020-04-09,2607
2020-04-08,2349
2020-04-07,2016
2020-04-06,1810
2020-04-05,1584
2020-04-04,1444
2020-04-03,1275
2020-04-02,1107
2020-04-01,920
2020-03-31,775
2020-03-30,645
2020-03-29,533
2020-03-28,433
2020-03-27,342
2020-03-26,267
2020-03-25,206
2020-03-24,157
2020-03-23,123
2020-03-22,94
2020-03-21,84
2020-03-20,67
2020-03-19,44
2020-03-18,28
2020-03-17,24
2020-03-16,17
2020-03-15,11
2020-03-14,9
2020-03-13,7
2020-03-12,3
2020-03-11,3
2020-03-10,2
2020-03-09,2
2020-03-08,0
2020-03-07,0
2020-03-06,0
2020-03-05,0
2020-03-04,0
2020-03-03,0
2020-03-02,0
2020-03-01,0
2020-02-29,0
2020-02-28,0
2020-02-27,0
2020-02-26,0
2020-02-25,0
2020-02-24,0
2020-02-23,0
2020-02-22,0
2020-02-21,0
2020-02-20,0
2020-02-19,0
2020-02-18,0
2020-02-17,0
2020-02-16,0
2020-02-15,0
2020-02-14,0
2020-02-13,0
2020-02-12,0
2020-02-11,0
2020-02-10,0
2020-02-09,0
2020-02-08,0
2020-02-07,0
2020-02-06,0
2020-02-05,0
2020-02-04,0
2020-02-03,0
2020-02-02,0
2020-02-01,0
2020-01-31,0
2020-01-30,0
2020-01-29,0
2020-01-28,0
2020-01-27,0
